STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,closest_station_id
17,031,222600,17031222600,2226,Census Tract 2226,G5020,S,160603,0,+41.9156388,-087.7044797,40570.0
17,031,222700,17031222700,2227,Census Tract 2227,G5020,S,226174,0,+41.9154908,-087.7101914,40570.0
17,031,230100,17031230100,2301,Census Tract 2301,G5020,S,164480,0,+41.9120286,-087.7043681,40570.0
17,031,230200,17031230200,2302,Census Tract 2302,G5020,S,210188,0,+41.9118821,-087.7100949,40570.0
17,031,351400,17031351400,3514,Census Tract 3514,G5020,S,323709,0,+41.8274004,-087.6240890,41120.0
17,031,351500,17031351500,3515,Census Tract 3515,G5020,S,168880,0,+41.8272742,-087.6277462,40190.0
17,031,380500,17031380500,3805,Census Tract 3805,G5020,S,191451,0,+41.8200988,-087.6277942,40300.0
17,031,380700,17031380700,3807,Census Tract 3807,G5020,S,244481,0,+41.8138060,-087.6237680,41270.0
17,031,381200,17031381200,3812,Census Tract 3812,G5020,S,258554,0,+41.8085114,-087.6139992,41080.0
17,031,381400,17031381400,3814,Census Tract 3814,G5020,S,316691,0,+41.8076202,-087.6214298,41080.0
17,031,381500,17031381500,3815,Census Tract 3815,G5020,S,108677,0,+41.8101927,-087.6228619,41080.0
17,031,381700,17031381700,3817,Census Tract 3817,G5020,S,196803,0,+41.8055502,-087.6274463,41230.0
17,031,381800,17031381800,3818,Census Tract 3818,G5020,S,319368,0,+41.8038481,-087.6211978,40130.0
17,031,381900,17031381900,3819,Census Tract 3819,G5020,S,172690,0,+41.8039557,-087.6138885,40130.0
17,031,670500,17031670500,6705,Census Tract 6705,G5020,S,622492,0,+41.7865780,-087.6764044,40290.0
17,031,670600,17031670600,6706,Census Tract 6706,G5020,S,327032,0,+41.7830054,-087.6715772,40290.0
17,031,670700,17031670700,6707,Census Tract 6707,G5020,S,326730,0,+41.7830686,-087.6667315,40290.0
17,031,670800,17031670800,6708,Census Tract 6708,G5020,S,326299,0,+41.7831442,-087.6618790,40290.0
17,031,670900,17031670900,6709,Census Tract 6709,G5020,S,326291,0,+41.7832124,-087.6570220,40290.0
17,031,671100,17031671100,6711,Census Tract 6711,G5020,S,245617,0,+41.7767815,-087.6617118,40290.0
17,031,671200,17031671200,6712,Census Tract 6712,G5020,S,244922,0,+41.7766993,-087.6665823,40290.0
17,031,671300,17031671300,6713,Census Tract 6713,G5020,S,484665,0,+41.7739015,-087.6713493,40290.0
17,031,671400,17031671400,6714,Census Tract 6714,G5020,S,495627,0,+41.7737921,-087.6762289,40290.0
17,031,671500,17031671500,6715,Census Tract 6715,G5020,S,741162,0,+41.7681721,-087.6696322,40290.0
17,031,671600,17031671600,6716,Census Tract 6716,G5020,S,407247,0,+41.7694998,-087.6615118,40290.0
17,031,231200,17031231200,2312,Census Tract 2312,G5020,S,656673,0,+41.8990614,-087.7213153,40030.0
17,031,390300,17031390300,3903,Census Tract 3903,G5020,S,327049,0,+41.8132006,-087.6042089,41270.0
17,031,390400,17031390400,3904,Census Tract 3904,G5020,S,326308,0,+41.8059243,-087.6040582,40130.0
17,031,400300,17031400300,4003,Census Tract 4003,G5020,S,1324154,140288,+41.7897177,-087.6114372,40510.0
17,031,400400,17031400400,4004,Census Tract 4004,G5020,S,326944,0,+41.7911261,-087.6183211,40510.0
17,031,400500,17031400500,4005,Census Tract 4005,G5020,S,326148,0,+41.7910414,-087.6231791,40510.0
17,031,400800,17031400800,4008,Census Tract 4008,G5020,S,493311,0,+41.7828633,-087.6205580,41140.0
17,031,440300,17031440300,4403,Census Tract 4403,G5020,S,1291887,0,+41.7437379,-087.6195319,40240.0
17,031,440600,17031440600,4406,Census Tract 4406,G5020,S,669816,0,+41.7326909,-087.6191603,41430.0
17,031,440700,17031440700,4407,Census Tract 4407,G5020,S,327461,0,+41.7347514,-087.6096294,41430.0
17,031,440900,17031440900,4409,Census Tract 4409,G5020,S,742631,0,+41.7286690,-087.6090057,40450.0
17,031,680500,17031680500,6805,Census Tract 6805,G5020,S,326857,0,+41.7905639,-087.6523524,40940.0
17,031,680600,17031680600,6806,Census Tract 6806,G5020,S,326466,0,+41.7832811,-087.6521652,40940.0
17,031,680900,17031680900,6809,Census Tract 6809,G5020,S,1033026,0,+41.7764282,-087.6376321,40940.0
17,031,681000,17031681000,6810,Census Tract 6810,G5020,S,651695,0,+41.7760394,-087.6495526,40940.0
17,031,681100,17031681100,6811,Census Tract 6811,G5020,S,652440,0,+41.7687665,-087.6493596,40940.0
17,031,240200,17031240200,2402,Census Tract 2402,G5020,S,166087,0,+41.9124417,-087.6701816,40590.0
17,031,240300,17031240300,2403,Census Tract 2403,G5020,S,166590,0,+41.9123662,-087.6750713,40590.0
17,031,240500,17031240500,2405,Census Tract 2405,G5020,S,233372,0,+41.9119700,-087.6836365,40670.0
17,031,240600,17031240600,2406,Census Tract 2406,G5020,S,162940,0,+41.9121613,-087.6897092,40670.0
17,031,240700,17031240700,2407,Census Tract 2407,G5020,S,163220,0,+41.9121172,-087.6945994,40670.0
17,031,240800,17031240800,2408,Census Tract 2408,G5020,S,165946,0,+41.9121057,-087.6994822,40670.0
17,031,241000,17031241000,2410,Census Tract 2410,G5020,S,210167,0,+41.9079978,-087.6945344,40670.0
17,031,241100,17031241100,2411,Census Tract 2411,G5020,S,333255,0,+41.9066672,-087.6895820,40590.0
17,031,410500,17031410500,4105,Census Tract 4105,G5020,S,262840,0,+41.7978272,-087.6037464,40510.0
17,031,411200,17031411200,4112,Census Tract 4112,G5020,S,402445,0,+41.7905557,-087.5940172,40720.0
17,031,681200,17031681200,6812,Census Tract 6812,G5020,S,794733,0,+41.7691893,-087.6384976,40990.0
17,031,681300,17031681300,6813,Census Tract 6813,G5020,S,721329,0,+41.7611733,-087.6398622,40990.0
17,031,690300,17031690300,6903,Census Tract 6903,G5020,S,512064,0,+41.7686690,-087.6290141,40990.0
17,031,690400,17031690400,6904,Census Tract 6904,G5020,S,651657,0,+41.7692585,-087.6202084,40990.0
17,031,690500,17031690500,6905,Census Tract 6905,G5020,S,320686,0,+41.7681656,-087.6121085,40990.0
17,031,690900,17031690900,6909,Census Tract 6909,G5020,S,655462,0,+41.7621423,-087.6103448,40990.0
17,031,241200,17031241200,2412,Census Tract 2412,G5020,S,328119,0,+41.9067070,-087.6846858,40590.0
17,031,241300,17031241300,2413,Census Tract 2413,G5020,S,164083,0,+41.9067715,-087.6810250,40590.0
17,031,241400,17031241400,2414,Census Tract 2414,G5020,S,517655,0,+41.9060234,-087.6753102,40590.0
17,031,241500,17031241500,2415,Census Tract 2415,G5020,S,302870,0,+41.9083759,-087.6709374,40590.0
17,031,241600,17031241600,2416,Census Tract 2416,G5020,S,293931,0,+41.9067097,-087.6653277,40320.0
17,031,242000,17031242000,2420,Census Tract 2420,G5020,S,326756,0,+41.8997371,-087.6649537,40320.0
17,031,242100,17031242100,2421,Census Tract 2421,G5020,S,327979,0,+41.8996698,-087.6698375,40320.0
17,031,242200,17031242200,2422,Census Tract 2422,G5020,S,326988,0,+41.8995893,-087.6747188,40320.0
17,031,210100,17031210100,2101,Census Tract 2101,G5020,S,854099,0,+41.9428681,-087.7013309,40060.0
17,031,210400,17031210400,2104,Census Tract 2104,G5020,S,419633,0,+41.9357581,-087.7302981,40060.0
17,031,210700,17031210700,2107,Census Tract 2107,G5020,S,497301,0,+41.9357029,-087.7038401,40060.0
17,031,210800,17031210800,2108,Census Tract 2108,G5020,S,162930,0,+41.9357455,-087.6989334,41020.0
17,031,210900,17031210900,2109,Census Tract 2109,G5020,S,570569,0,+41.9354390,-087.6933366,41020.0
17,031,220300,17031220300,2203,Census Tract 2203,G5020,S,326091,0,+41.9284646,-087.6950863,40570.0
17,031,420200,17031420200,4202,Census Tract 4202,G5020,S,278188,0,+41.7834582,-087.5935160,40720.0
17,031,420300,17031420300,4203,Census Tract 4203,G5020,S,245119,0,+41.7832241,-087.5986970,40720.0
17,031,420400,17031420400,4204,Census Tract 4204,G5020,S,245127,0,+41.7831699,-087.6035584,40720.0
17,031,420500,17031420500,4205,Census Tract 4205,G5020,S,245980,0,+41.7831002,-087.6084261,40720.0
17,031,809600,17031809600,8096,Census Tract 8096,G5020,S,1300137,0,+42.0447451,-087.6999044,40050.0
17,031,809800,17031809800,8098,Census Tract 8098,G5020,S,597774,0,+42.0375290,-087.6854990,40690.0
17,031,809900,17031809900,8099,Census Tract 8099,G5020,S,765553,0,+42.0376185,-087.6752631,40270.0
17,031,691000,17031691000,6910,Census Tract 6910,G5020,S,648682,0,+41.7619654,-087.6200151,40990.0
17,031,691100,17031691100,6911,Census Tract 6911,G5020,S,675736,0,+41.7617135,-087.6298721,40990.0
17,031,691200,17031691200,6912,Census Tract 6912,G5020,S,1002990,10735,+41.7526208,-087.6304113,40240.0
17,031,691300,17031691300,6913,Census Tract 6913,G5020,S,647447,0,+41.7546811,-087.6198472,40240.0
17,031,691400,17031691400,6914,Census Tract 6914,G5020,S,656683,0,+41.7548455,-087.6101685,40240.0
17,031,242300,17031242300,2423,Census Tract 2423,G5020,S,328316,0,+41.8995065,-087.6796003,40590.0
17,031,242400,17031242400,2424,Census Tract 2424,G5020,S,328052,0,+41.8994219,-087.6844900,40590.0
17,031,242500,17031242500,2425,Census Tract 2425,G5020,S,309814,0,+41.8994455,-087.6893191,40590.0
17,031,242700,17031242700,2427,Census Tract 2427,G5020,S,175573,0,+41.8974254,-087.6993743,41360.0
17,031,242800,17031242800,2428,Census Tract 2428,G5020,S,439630,0,+41.8926320,-087.6903237,41360.0
17,031,242900,17031242900,2429,Census Tract 2429,G5020,S,323820,0,+41.8921955,-087.6842896,41710.0
17,031,243000,17031243000,2430,Census Tract 2430,G5020,S,324551,0,+41.8922753,-087.6793981,41710.0
17,031,220400,17031220400,2204,Census Tract 2204,G5020,S,329546,0,+41.9284315,-087.6999684,41020.0
17,031,220500,17031220500,2205,Census Tract 2205,G5020,S,334925,0,+41.9283965,-087.7049111,41020.0
17,031,221000,17031221000,2210,Census Tract 2210,G5020,S,220053,0,+41.9209604,-087.7152526,41020.0
17,031,810000,17031810000,8100,Census Tract 8100,G5020,S,1108649,1422820,+42.0247699,-087.6691185,40900.0
17,031,810100,17031810100,8101,Census Tract 8101,G5020,S,723780,0,+42.0302060,-087.6846291,40270.0
17,031,810200,17031810200,8102,Census Tract 8102,G5020,S,883785,0,+42.0228225,-087.6833407,40840.0
17,031,810302,17031810302,8103.02,Census Tract 8103.02,G5020,S,781826,0,+42.0294129,-087.6947173,40270.0
17,031,810400,17031810400,8104,Census Tract 8104,G5020,S,2319076,0,+41.9875741,-087.8294381,40230.0
17,031,490300,17031490300,4903,Census Tract 4903,G5020,S,632636,0,+41.7253816,-087.6191477,40450.0
17,031,490400,17031490400,4904,Census Tract 4904,G5020,S,237760,0,+41.7236539,-087.6108237,40450.0
17,031,490500,17031490500,4905,Census Tract 4905,G5020,S,1425940,0,+41.7179276,-087.6132067,40450.0
17,031,490600,17031490600,4906,Census Tract 4906,G5020,S,679065,0,+41.7179514,-087.6283324,40450.0
17,031,490700,17031490700,4907,Census Tract 4907,G5020,S,640220,0,+41.7107319,-087.6283648,40450.0
17,031,490800,17031490800,4908,Census Tract 4908,G5020,S,1079255,0,+41.7106828,-087.6153371,40450.0
17,031,710100,17031710100,7101,Census Tract 7101,G5020,S,215116,0,+41.7533918,-087.6419713,40240.0
17,031,243100,17031243100,2431,Census Tract 2431,G5020,S,324004,0,+41.8923546,-087.6745068,41710.0
17,031,243200,17031243200,2432,Census Tract 2432,G5020,S,323849,0,+41.8924327,-087.6696238,40170.0
17,031,243300,17031243300,2433,Census Tract 2433,G5020,S,327092,0,+41.8924781,-087.6647388,40170.0
17,031,243400,17031243400,2434,Census Tract 2434,G5020,S,329184,0,+41.8925577,-087.6598479,41410.0
17,031,243500,17031243500,2435,Census Tract 2435,G5020,S,657216,0,+41.8926536,-087.6525172,40490.0
17,031,805702,17031805702,8057.02,Census Tract 8057.02,G5020,S,1676146,0,+41.9920564,-087.8468300,40230.0
17,031,710900,17031710900,7109,Census Tract 7109,G5020,S,990854,0,+41.7421467,-087.6396899,41430.0
17,031,010202,17031010202,102.02,Census Tract 102.02,G5020,S,351716,0,+42.0160503,-087.6733216,40900.0
17,031,061902,17031061902,619.02,Census Tract 619.02,G5020,S,276101,585774,+41.9431822,-087.6358414,41420.0
17,031,030200,17031030200,302,Census Tract 302,G5020,S,666199,0,+41.9944414,-087.6652300,40760.0
17,031,030300,17031030300,303,Census Tract 303,G5020,S,314151,0,+41.9943875,-087.6725348,40760.0
17,031,030400,17031030400,304,Census Tract 304,G5020,S,346489,0,+41.9869515,-087.6720788,40880.0
17,031,030500,17031030500,305,Census Tract 305,G5020,S,618134,0,+41.9872260,-087.6649359,40880.0
17,031,030800,17031030800,308,Census Tract 308,G5020,S,567414,0,+41.9799123,-087.6641880,40340.0
17,031,030900,17031030900,309,Census Tract 309,G5020,S,408716,0,+41.9797951,-087.6714454,40340.0
17,031,801200,17031801200,8012,Census Tract 8012,G5020,S,1944857,3492923,+42.0798161,-087.6867858,41050.0
17,031,801300,17031801300,8013,Census Tract 8013,G5020,S,1875951,0,+42.0741052,-087.6970257,41050.0
17,031,560400,17031560400,5604,Census Tract 5604,G5020,S,334560,0,+41.8040085,-087.7405768,40960.0
17,031,711500,17031711500,7115,Census Tract 7115,G5020,S,649393,0,+41.7324406,-087.6386881,41430.0
17,031,730100,17031730100,7301,Census Tract 7301,G5020,S,660213,0,+41.7251771,-087.6384256,40450.0
17,031,031000,17031031000,310,Census Tract 310,G5020,S,424895,0,+41.9724370,-087.6711094,40090.0
17,031,031100,17031031100,311,Census Tract 311,G5020,S,549966,0,+41.9726684,-087.6638662,41200.0
17,031,031200,17031031200,312,Census Tract 312,G5020,S,326474,0,+41.9727092,-087.6573410,41200.0
17,031,031300,17031031300,313,Census Tract 313,G5020,S,632174,466785,+41.9737631,-087.6465284,41200.0
17,031,031400,17031031400,314,Census Tract 314,G5020,S,1489276,1040213,+41.9594315,-087.6417542,40540.0
17,031,031700,17031031700,317,Census Tract 317,G5020,S,477478,0,+41.9654466,-087.6631954,40540.0
17,031,031800,17031031800,318,Census Tract 318,G5020,S,235150,0,+41.9670114,-087.6706209,40090.0
17,031,031900,17031031900,319,Census Tract 319,G5020,S,257670,0,+41.9633740,-087.6701841,41500.0
17,031,032100,17031032100,321,Census Tract 321,G5020,S,431028,0,+41.9581538,-087.6530179,40080.0
17,031,251000,17031251000,2510,Census Tract 2510,G5020,S,466957,0,+41.8986945,-087.7448924,40480.0
17,031,280400,17031280400,2804,Census Tract 2804,G5020,S,502204,0,+41.8860096,-087.6718845,40170.0
17,031,320100,17031320100,3201,Census Tract 3201,G5020,S,910356,0,+41.8850465,-087.6209322,41700.0
17,031,351100,17031351100,3511,Census Tract 3511,G5020,S,346344,0,+41.8277468,-087.6141998,40300.0
17,031,360200,17031360200,3602,Census Tract 3602,G5020,S,231661,0,+41.8268757,-087.6099052,40300.0
17,031,380100,17031380100,3801,Census Tract 3801,G5020,S,437445,0,+41.8201967,-087.6101005,41270.0
17,031,806802,17031806802,8068.02,Census Tract 8068.02,G5020,S,964595,0,+42.0443774,-087.7397696,40140.0
17,031,807000,17031807000,8070,Census Tract 8070,G5020,S,1135602,0,+42.0444492,-087.7555401,40140.0
17,031,231500,17031231500,2315,Census Tract 2315,G5020,S,1000736,0,+41.8917318,-087.7186559,41670.0
17,031,251100,17031251100,2511,Census Tract 2511,G5020,S,496455,0,+41.8986248,-087.7520112,40700.0
17,031,251200,17031251200,2512,Census Tract 2512,G5020,S,662291,0,+41.8985491,-087.7606040,40280.0
17,031,730500,17031730500,7305,Census Tract 7305,G5020,S,1313922,0,+41.7142493,-087.6381386,40450.0
17,031,040300,17031040300,403,Census Tract 403,G5020,S,767450,0,+41.9768011,-087.7019748,40870.0
17,031,040600,17031040600,406,Census Tract 406,G5020,S,331258,0,+41.9668338,-087.6840181,41480.0
17,031,040700,17031040700,407,Census Tract 407,G5020,S,358082,0,+41.9668057,-087.6940853,41010.0
17,031,040800,17031040800,408,Census Tract 408,G5020,S,230027,0,+41.9631627,-087.6923034,41010.0
17,031,040900,17031040900,409,Census Tract 409,G5020,S,321854,0,+41.9631847,-087.6838544,41480.0
17,031,050100,17031050100,501,Census Tract 501,G5020,S,334634,0,+41.9578451,-087.6763730,41460.0
17,031,050200,17031050200,502,Census Tract 502,G5020,S,652253,0,+41.9577405,-087.6837168,41460.0
17,031,050300,17031050300,503,Census Tract 503,G5020,S,394731,0,+41.9576780,-087.6915186,41010.0
17,031,380200,17031380200,3802,Census Tract 3802,G5020,S,215128,0,+41.8205740,-087.6149861,40300.0
17,031,980000,17031980000,9800,Census Tract 9800,G5020,S,19680343,360284,+41.9794881,-087.9024050,40890.0
17,031,770700,17031770700,7707,Census Tract 7707,G5020,S,4677069,0,+41.9854342,-087.8694192,40820.0
17,031,081500,17031081500,815,Census Tract 815,G5020,S,295437,0,+41.8925590,-087.6262300,40330.0
17,031,081600,17031081600,816,Census Tract 816,G5020,S,132807,0,+41.8921063,-087.6288737,40330.0
17,031,081700,17031081700,817,Census Tract 817,G5020,S,371566,0,+41.8920668,-087.6318681,40330.0
17,031,807300,17031807300,8073,Census Tract 8073,G5020,S,2037396,0,+42.0337614,-087.7549133,40140.0
17,031,807400,17031807400,8074,Census Tract 8074,G5020,S,1396763,0,+42.0281935,-087.7398439,41680.0
17,031,807700,17031807700,8077,Census Tract 8077,G5020,S,1697135,0,+42.0207637,-087.7542194,41680.0
17,031,251300,17031251300,2513,Census Tract 2513,G5020,S,653465,0,+41.8984251,-087.7703849,41260.0
17,031,251400,17031251400,2514,Census Tract 2514,G5020,S,680676,0,+41.8909981,-087.7701296,41260.0
17,031,251500,17031251500,2515,Census Tract 2515,G5020,S,682473,0,+41.8911117,-087.7603455,40280.0
17,031,251600,17031251600,2516,Census Tract 2516,G5020,S,480785,0,+41.8914065,-087.7518037,40700.0
17,031,251700,17031251700,2517,Census Tract 2517,G5020,S,486655,0,+41.8913844,-087.7444793,40480.0
17,031,251800,17031251800,2518,Census Tract 2518,G5020,S,997743,0,+41.8841436,-087.7478885,40480.0
17,031,251900,17031251900,2519,Census Tract 2519,G5020,S,633902,0,+41.8838195,-087.7601040,40700.0
17,031,570300,17031570300,5703,Census Tract 5703,G5020,S,980170,0,+41.8041449,-087.7307909,40960.0
17,031,570400,17031570400,5704,Census Tract 5704,G5020,S,463390,0,+41.8049921,-087.7191305,40960.0
17,031,570500,17031570500,5705,Census Tract 5705,G5020,S,423602,0,+41.7986015,-087.7324553,40960.0
17,031,580100,17031580100,5801,Census Tract 5801,G5020,S,763546,0,+41.8280541,-087.6907450,40120.0
17,031,580200,17031580200,5802,Census Tract 5802,G5020,S,729816,0,+41.8267718,-087.6993478,40120.0
17,031,580400,17031580400,5804,Census Tract 5804,G5020,S,1316120,0,+41.8152753,-087.7091844,41150.0
17,031,580600,17031580600,5806,Census Tract 5806,G5020,S,492790,0,+41.8173978,-087.6920314,40310.0
17,031,812000,17031812000,8120,Census Tract 8120,G5020,S,2839359,4794,+41.8875807,-087.8201224,40020.0
17,031,812400,17031812400,8124,Census Tract 8124,G5020,S,1389045,0,+41.8957739,-087.7911158,41350.0
17,031,050500,17031050500,505,Census Tract 505,G5020,S,652578,0,+41.9504474,-087.6835073,41440.0
17,031,050600,17031050600,506,Census Tract 506,G5020,S,332459,0,+41.9505466,-087.6761813,41440.0
17,031,050700,17031050700,507,Census Tract 507,G5020,S,164328,0,+41.9450710,-087.6760595,41440.0
17,031,050800,17031050800,508,Census Tract 508,G5020,S,162818,0,+41.9450095,-087.6809279,41440.0
17,031,050900,17031050900,509,Census Tract 509,G5020,S,162724,0,+41.9449466,-087.6857780,41440.0
17,031,051000,17031051000,510,Census Tract 510,G5020,S,166637,0,+41.9413024,-087.6857317,41440.0
17,031,051100,17031051100,511,Census Tract 511,G5020,S,162702,0,+41.9413652,-087.6808266,41440.0
17,031,051200,17031051200,512,Census Tract 512,G5020,S,164664,0,+41.9414211,-087.6759518,41310.0
17,031,051300,17031051300,513,Census Tract 513,G5020,S,321993,0,+41.9359958,-087.6758404,41310.0
17,031,051400,17031051400,514,Census Tract 514,G5020,S,358887,0,+41.9357489,-087.6809905,41310.0
17,031,060100,17031060100,601,Census Tract 601,G5020,S,325546,0,+41.9575311,-087.6666112,41460.0
17,031,060200,17031060200,602,Census Tract 602,G5020,S,318279,0,+41.9579036,-087.6715175,41460.0
17,031,081800,17031081800,818,Census Tract 818,G5020,S,746627,0,+41.8932554,-087.6377955,40710.0
17,031,081900,17031081900,819,Census Tract 819,G5020,S,137749,0,+41.8979832,-087.6414914,40710.0
17,031,252000,17031252000,2520,Census Tract 2520,G5020,S,636149,0,+41.8836935,-087.7698734,41260.0
17,031,260100,17031260100,2601,Census Tract 2601,G5020,S,324422,0,+41.8843593,-087.7233345,40030.0
